,added_at,track
0,2026-03-26T15:45:52Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7ME0heqob2B32S9ofWhOyU'}, 'href': 'https://api.spotify.com/v1/artists/7ME0heqob2B32S9ofWhOyU', 'id': '7ME0heqob2B32S9ofWhOyU', 'name': 'Joe Bataan', 'type': 'artist', 'uri': 'spotify:artist:7ME0heqob2B32S9ofWhOyU'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/678pt0QZ8mwQakkZRuuzQq'}, 'href': 'https://api.spotify.com/v1/albums/678pt0QZ8mwQakkZRuuzQq', 'id': '678pt0QZ8mwQakkZRuuzQq', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27384b3418a5af6d29507425cda'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0284b3418a5af6d29507425cda'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485184b3418a5af6d29507425cda'}], 'is_playable': True, 'name': 'Under The Streetlamps: Anthology 1967-72', 'release_date': '2008-06-17', 'release_date_precision': 'day', 'total_tracks': 20, 'type': 'album', 'uri': 'spotify:album:678pt0QZ8mwQakkZRuuzQq'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7ME0heqob2B32S9ofWhOyU'}, 'href': 'https://api.spotify.com/v1/artists/7ME0heqob2B32S9ofWhOyU', 'id': '7ME0heqob2B32S9ofWhOyU', 'name': 'Joe Bataan', 'type': 'artist', 'uri': 'spotify:artist:7ME0heqob2B32S9ofWhOyU'}], 'disc_number': 1, 'duration_ms': 246173, 'explicit': False, 'external_ids': {'isrc': 'USDBB0610671'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/17v2ohSG0hO8u2AjKaU6MR'}, 'href': 'https://api.spotify.com/v1/tracks/17v2ohSG0hO8u2AjKaU6MR', 'id': '17v2ohSG0hO8u2AjKaU6MR', 'is_local': False, 'is_playable': True, 'name': 'Gypsy Woman - Demo Version', 'track_number': 7, 'type': 'track', 'uri': 'spotify:track:17v2ohSG0hO8u2AjKaU6MR'}"
1,2026-03-26T15:44:28Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6wH6iStAh4KIaWfuhf0NYM'}, 'href': 'https://api.spotify.com/v1/artists/6wH6iStAh4KIaWfuhf0NYM', 'id': '6wH6iStAh4KIaWfuhf0NYM', 'name': 'Manu Chao', 'type': 'artist', 'uri': 'spotify:artist:6wH6iStAh4KIaWfuhf0NYM'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1LLdXiWTfoywqricztFo'}, 'href': 'https://api.spotify.com/v1/albums/4t1LLdXiWTfoywqricztFo', 'id': '4t1LLdXiWTfoywqricztFo', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731dcba4a728ca0b17cbd204a5'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021dcba4a728ca0b17cbd204a5'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511dcba4a728ca0b17cbd204a5'}], 'is_playable': True, 'name': 'Próxima Estación: Esperanza', 'release_date': '2001-06-01', 'release_date_precision': 'day', 'total_tracks': 17, 'type': 'album', 'uri': 'spotify:album:4t1LLdXiWTfoywqricztFo'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6wH6iStAh4KIaWfuhf0NYM'}, 'href': 'https://api.spotify.com/v1/artists/6wH6iStAh4KIaWfuhf0NYM', 'id': '6wH6iStAh4KIaWfuhf0NYM', 'name': 'Manu Chao', 'type': 'artist', 'uri': 'spotify:artist:6wH6iStAh4KIaWfuhf0NYM'}], 'disc_number': 1, 'duration_ms': 93760, 'explicit': False, 'external_ids': {'isrc': 'FR84R0100012'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/3D7c877toc0Aec6HLAlILK'}, 'href': 'https://api.spotify.com/v1/tracks/3D7c877toc0Aec6HLAlILK', 'id': '3D7c877toc0Aec6HLAlILK', 'is_local': False, 'is_playable': True, 'name': 'La Chinita', 'track_number': 13, 'type': 'track', 'uri': 'spotify:track:3D7c877toc0Aec6HLAlILK'}"
2,2026-03-24T23:49:56Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2lZkXWxkZsZzBocxMjN1or'}, 'href': 'https://api.spotify.com/v1/artists/2lZkXWxkZsZzBocxMjN1or', 'id': '2lZkXWxkZsZzBocxMjN1or', 'name': 'Sunny Day Real Estate', 'type': 'artist', 'uri': 'spotify:artist:2lZkXWxkZsZzBocxMjN1or'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3wdD2PQkm8N4ezZf732Oxv'}, 'href': 'https://api.spotify.com/v1/albums/3wdD2PQkm8N4ezZf732Oxv', 'id': '3wdD2PQkm8N4ezZf732Oxv', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734713de3f8def31792e7e8954'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024713de3f8def31792e7e8954'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514713de3f8def31792e7e8954'}], 'is_playable': True, 'name': 'Diary (Remastered and Expanded Edition)', 'release_date': '1994-05-10', 'release_date_precision': 'day', 'total_tracks': 13, 'type': 'album', 'uri': 'spotify:album:3wdD2PQkm8N4ezZf732Oxv'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2lZkXWxkZsZzBocxMjN1or'}, 'href': 'https://api.spotify.com/v1/artists/2lZkXWxkZsZzBocxMjN1or', 'id': '2lZkXWxkZsZzBocxMjN1or', 'name': 'Sunny Day Real Estate', 'type': 'artist', 'uri': 'spotify:artist:2lZkXWxkZsZzBocxMjN1or'}], 'disc_number': 1, 'duration_ms': 374826, 'explicit': False, 'external_ids': {'isrc': 'USSUB0984603'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/6xNZDWP5Ca0yV9R653WsnT'}, 'href': 'https://api.spotify.com/v1/tracks/6xNZDWP5Ca0yV9R653WsnT', 'id': '6xNZDWP5Ca0yV9R653WsnT', 'is_local': False, 'is_playable': True, 'name': 'Song About An Angel - Remastered', 'track_number': 3, 'type': 'track', 'uri': 'spotify:track:6xNZDWP5Ca0yV9R653WsnT'}"
3,2026-03-23T13:10:29Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/41CCcG04zR4wxWbmYyxa34'}, 'href': 'https://api.spotify.com/v1/artists/41CCcG04zR4wxWbmYyxa34', 'id': '41CCcG04zR4wxWbmYyxa34', 'name': 'Jack Davies', 'type': 'artist', 'uri': 'spotify:artist:41CCcG04zR4wxWbmYyxa34'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5jtTHEiUh4amDl0o0T2i8c'}, 'href': 'https://api.spotify.com/v1/albums/5jtTHEiUh4amDl0o0T2i8c', 'id': '5jtTHEiUh4amDl0o0T2i8c', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737da9a560e8105edd1d502e8a'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027da9a560e8105edd1d502e8a'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517da9a560e8105edd1d502e8a'}], 'is_playable': True, 'name': 'A Gust Of Wind Knocks Off My Hat', 'release_date': '2025-10-30', 'release_date_precision': 'day', 'total_tracks': 14, 'type': 'album', 'uri': 'spotify:album:5jtTHEiUh4amDl0o0T2i8c'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/41CCcG04zR4wxWbmYyxa34'}, 'href': 'https://api.spotify.com/v1/artists/41CCcG04zR4wxWbmYyxa34', 'id': '41CCcG04zR4wxWbmYyxa34', 'name': 'Jack Davies', 'type': 'artist', 'uri': 'spotify:artist:41CCcG04zR4wxWbmYyxa34'}], 'disc_number': 1, 'duration_ms': 209500, 'explicit': False, 'external_ids': {'isrc': 'QMFMF2513555'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/5yxGWqng8g9qNe1MAsLjuc'}, 'href': 'https://api.spotify.com/v1/tracks/5yxGWqng8g9qNe1MAsLjuc', 'id': '5yxGWqng8g9qNe1MAsLjuc', 'is_local': False, 'is_playable': True, 'name': 'Sweet Red Wine', 'track_number': 5, 'type': 'track', 'uri': 'spotify:track:5yxGWqng8g9qNe1MAsLjuc'}"
4,2026-03-22T18:05:58Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2aeccL0hsJAfsP56dRdrBI'}, 'href': 'https://api.spotify.com/v1/artists/2aeccL0hsJAfsP56dRdrBI', 'id': '2aeccL0hsJAfsP56dRdrBI', 'name': 'Lungfish', 'type': 'artist', 'uri': 'spotify:artist:2aeccL0hsJAfsP56dRdrBI'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3uDvHw7gFawUUdFCM352CT'}, 'href': 'https://api.spotify.com/v1/albums/3uDvHw7gFawUUdFCM352CT', 'id': '3uDvHw7gFawUUdFCM352CT', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273681e782ea2ba7e4a5eb83f99'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02681e782ea2ba7e4a5eb83f99'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851681e782ea2ba7e4a5eb83f99'}], 'is_playable': True, 'name': 'Talking Songs for Walking / Necklace of Heads', 'release_date': '1992-07-01', 'release_date_precision': 'day', 'total_tracks': 18, 'type': 'album', 'uri': 'spotify:album:3uDvHw7gFawUUdFCM352CT'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2aeccL0hsJAfsP56dRdrBI'}, 'href': 'https://api.spotify.com/v1/artists/2aeccL0hsJAfsP56dRdrBI', 'id': '2aeccL0hsJAfsP56dRdrBI', 'name': 'Lungfish', 'type': 'artist', 'uri': 'spotify:artist:2aeccL0hsJAfsP56dRdrBI'}], 'disc_number': 1, 'duration_ms': 233586, 'explicit': False, 'external_ids': {'isrc': 'US35U0406601'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/5AfGaAtyV3y4MX6rjuCqNg'}, 'href': 'https://api.spotify.com/v1/tracks/5AfGaAtyV3y4MX6rjuCqNg', 'id': '5AfGaAtyV3y4MX6rjuCqNg', 'is_local': False, 'is_playable': True, 'name': 'Friend To Friend In Endtime', 'track_number': 1, 'type': 'track', 'uri': 'spotify:track:5AfGaAtyV3y4MX6rjuCqNg'}"
5,2026-03-22T18:05:56Z,"{'album': {'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3swFyT2DNOalAWhotbvcVf'}, 'href': 'https://api.spotify.com/v1/artists/3swFyT2DNOalAWhotbvcVf', 'id': '3swFyT2DNOalAWhotbvcVf', 'name': 'Squirrel Bait', 'type': 'artist', 'uri': 'spotify:artist:3swFyT2DNOalAWhotbvcVf'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4iS8OZjDL6yQ79nyfY3xmh'}, 'href': 'https://api.spotify.com/v1/albums/4iS8OZjDL6yQ79nyfY3xmh', 'id': '4iS8OZjDL6yQ79nyfY3xmh', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d6563d28a11bb364ead1241c'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d6563d28a11bb364ead1241c'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d6563d28a11bb364ead1241c'}], 'is_playable': True, 'name': 'Squirrel Bait', 'release_date': '1997-01-20', 'release_date_precision': 'day', 'total_tracks': 8, 'type': 'album', 'uri': 'spotify:album:4iS8OZjDL6yQ79nyfY3xmh'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3swFyT2DNOalAWhotbvcVf'}, 'href': 'https://api.spotify.com/v1/artists/3swFyT2DNOalAWhotbvcVf', 'id': '3swFyT2DNOalAWhotbvcVf', 'name': 'Squirrel Bait', 'type': 'artist', 'uri': 'spotify:artist:3swFyT2DNOalAWhotbvcVf'}], 'disc_number': 1, 'duration_ms': 132666, 'explicit': False, 'external_ids': {'isrc': 'US58L0510202'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/0eFZlaYUi2Llx7n9z48USy'}, 'href': 'https://api.spotify.com/v1/tracks/0eFZlaYUi2Llx7n9z48USy', 'id': '0eFZlaYUi2Llx7n9z48USy', 'is_local': False, 'is_playable': True, 'name': 'Thursday', 'track_number': 2, 'type': 'track', 'uri': 'spotify:track:0eFZlaYUi2Llx7n9z48USy'}"
6,2026-03-22T18:05:32Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/267VY6GX5LyU5c9M85ECZQ'}, 'href': 'https://api.spotify.com/v1/artists/267VY6GX5LyU5c9M85ECZQ', 'id': '267VY6GX5LyU5c9M85ECZQ', 'name': 'Dinosaur Jr.', 'type': 'artist', 'uri': 'spotify:artist:267VY6GX5LyU5c9M85ECZQ'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3peMqhMZ1HT8N4lvSS3GPu'}, 'href': 'https://api.spotify.com/v1/albums/3peMqhMZ1HT8N4lvSS3GPu', 'id': '3peMqhMZ1HT8N4lvSS3GPu', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d0440608c09e550faea0ef90'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d0440608c09e550faea0ef90'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d0440608c09e550faea0ef90'}], 'is_playable': True, 'name': ""You're Living All Over Me"", 'release_date': '1987-12-14', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3peMqhMZ1HT8N4lvSS3GPu'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/267VY6GX5LyU5c9M85ECZQ'}, 'href': 'https://api.spotify.com/v1/artists/267VY6GX5LyU5c9M85ECZQ', 'id': '267VY6GX5LyU5c9M85ECZQ', 'name': 'Dinosaur Jr.', 'type': 'artist', 'uri': 'spotify:artist:267VY6GX5LyU5c9M85ECZQ'}], 'disc_number': 1, 'duration_ms': 231306, 'explicit': False, 'external_ids': {'isrc': 'USMRG0566016'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/4GpfNpkzSwYfATmZJhVuJB'}, 'href': 'https://api.spotify.com/v1/tracks/4GpfNpkzSwYfATmZJhVuJB', 'id': '4GpfNpkzSwYfATmZJhVuJB', 'is_local': False, 'is_playable': True, 'name': 'The Lung', 'track_number': 4, 'type': 'track', 'uri': 'spotify:track:4GpfNpkzSwYfATmZJhVuJB'}"
7,2026-03-21T02:49:15Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1PVM17vtTrQVsXz9z7i2KD'}, 'href': 'https://api.spotify.com/v1/artists/1PVM17vtTrQVsXz9z7i2KD', 'id': '1PVM17vtTrQVsXz9z7i2KD', 'name': 'Motel Breakfast', 'type': 'artist', 'uri': 'spotify:artist:1PVM17vtTrQVsXz9z7i2KD'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/7mebhd9ydwQD8RxMOj5cEi'}, 'href': 'https://api.spotify.com/v1/albums/7mebhd9ydwQD8RxMOj5cEi', 'id': '7mebhd9ydwQD8RxMOj5cEi', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d88b3abc92e2036203665efa'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d88b3abc92e2036203665efa'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d88b3abc92e2036203665efa'}], 'is_playable': True, 'name': ""I Promise I'm Having Fun."", 'release_date': '2024-04-05', 'release_date_precision': 'day', 'total_tracks': 11, 'type': 'album', 'uri': 'spotify:album:7mebhd9ydwQD8RxMOj5cEi'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1PVM17vtTrQVsXz9z7i2KD'}, 'href': 'https://api.spotify.com/v1/artists/1PVM17vtTrQVsXz9z7i2KD', 'id': '1PVM17vtTrQVsXz9z7i2KD', 'name': 'Motel Breakfast', 'type': 'artist', 'uri': 'spotify:artist:1PVM17vtTrQVsXz9z7i2KD'}], 'disc_number': 1, 'duration_ms': 192811, 'explicit': False, 'external_ids': {'isrc': 'QZDA82464747'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/7fdrLQC7WlOElIMeMjk3Nu'}, 'href': 'https://api.spotify.com/v1/tracks/7fdrLQC7WlOElIMeMjk3Nu', 'id': '7fdrLQC7WlOElIMeMjk3Nu', 'is_local': False, 'is_playable': True, 'name': 'See You Soon, Meet You There', 'track_number': 8, 'type': 'track', 'uri': 'spotify:track:7fdrLQC7WlOElIMeMjk3Nu'}"
8,2026-03-20T20:21:06Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4G0XDEk7RbA4BBCTs917U9'}, 'href': 'https://api.spotify.com/v1/artists/4G0XDEk7RbA4BBCTs917U9', 'id': '4G0XDEk7RbA4BBCTs917U9', 'name': 'Sun Kil Moon', 'type': 'artist', 'uri': 'spotify:artist:4G0XDEk7RbA4BBCTs917U9'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1JpwFoxVVutPXtSBohj0rJ'}, 'href': 'https://api.spotify.com/v1/albums/1JpwFoxVVutPXtSBohj0rJ', 'id': '1JpwFoxVVutPXtSBohj0rJ', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739eb39412ac03eb70cd2a8ddc'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029eb39412ac03eb70cd2a8ddc'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519eb39412ac03eb70cd2a8ddc'}], 'is_playable': True, 'name': 'Ghosts of the Great Highway', 'release_date': '2003-11-04', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:1JpwFoxVVutPXtSBohj0rJ'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4G0XDEk7RbA4BBCTs917U9'}, 'href': 'https://api.spotify.com/v1/artists/4G0XDEk7RbA4BBCTs917U9', 'id': '4G0XDEk7RbA4BBCTs917U9', 'name': 'Sun Kil Moon', 'type': 'artist', 'uri': 'spotify:artist:4G0XDEk7RbA4BBCTs917U9'}], 'disc_number': 1, 'duration_ms': 381040, 'explicit': False, 'external_ids': {'isrc': 'USA2B0738302'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/6sNT5PF1SjTYgMiAIQGYMd'}, 'href': 'https://api.spotify.com/v1/tracks/6sNT5PF1SjTYgMiAIQGYMd', 'id': '6sNT5PF1SjTYgMiAIQGYMd', 'is_local': False, 'is_playable': True, 'name': 'Carry Me Ohio', 'track_number': 2, 'type': 'track', 'uri': 'spotify:track:6sNT5PF1SjTYgMiAIQGYMd'}"
9,2026-03-20T14:46:17Z,"{'album': {'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1E5pLahwa4lUHQxHFlfkg5'}, 'href': 'https://api.spotify.com/v1/artists/1E5pLahwa4lUHQxHFlfkg5', 'id': '1E5pLahwa4lUHQxHFlfkg5', 'name': 'Claudya', 'type': 'artist', 'uri': 'spotify:artist:1E5pLahwa4lUHQxHFlfkg5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2dEy0o3j0WbTQcSJQISPiw'}, 'href': 'https://api.spotify.com/v1/albums/2dEy0o3j0WbTQcSJQISPiw', 'id': '2dEy0o3j0WbTQcSJQISPiw', 'images': [{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737eb0ac3ea44b58392f339f3a'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027eb0ac3ea44b58392f339f3a'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517eb0ac3ea44b58392f339f3a'}], 'is_playable': True, 'name': 'Deixa Eu Dizer', 'release_date': '1973-03-07', 'release_date_precision': 'day', 'total_tracks': 12, 'type': 'album', 'uri': 'spotify:album:2dEy0o3j0WbTQcSJQISPiw'}, 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1E5pLahwa4lUHQxHFlfkg5'}, 'href': 'https://api.spotify.com/v1/artists/1E5pLahwa4lUHQxHFlfkg5', 'id': '1E5pLahwa4lUHQxHFlfkg5', 'name': 'Claudya', 'type': 'artist', 'uri': 'spotify:artist:1E5pLahwa4lUHQxHFlfkg5'}], 'disc_number': 1, 'duration_ms': 167139, 'explicit': False, 'external_ids': {'isrc': 'BREMI9500080'}, 'external_urls': {'spotify': 'https://open.spotify.com/track/1z1VvotFOcYm72B56JQ85S'}, 'href': 'https://api.spotify.com/v1/tracks/1z1VvotFOcYm72B56JQ85S', 'id': '1z1VvotFOcYm72B56JQ85S', 'is_local': False, 'is_playable': True, 'name': 'Deixa Eu Dizer', 'track_number': 8, 'type': 'track', 'uri': 'spotify:track:1z1VvotFOcYm72B56JQ85S'}"
