track_id,track_name,artist,artist_id,album,release_date,added_at
0qNnE0beu4OfHk8Txa3vGt,Soul Flower - Remix,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Bizarre Ride II The Pharcyde,1992-11-24,2026-03-31T23:30:15Z
7AHX0F99w4x23uSZihklZ6,My God,Tapir!,7dYpljfleToKnSmBFqjqkd,"The Pilgrim, Their God and The King of My Decrepit Mountain",2024-01-26,2026-03-30T19:33:55Z
1KbpVvPiLAt1Wsh5gr2YKM,Take a Trip,TV Girl,0Y6dVaC9DZtPNH4591M42W,Fauxllennium,2024-12-02,2026-03-29T16:54:47Z
56s4IHGnJVGZYcdOVmC3eb,"I Love Life, Thank You",Mac Miller,4LLpKhyESsyAXpc4laK94U,"I Love Life, Thank You",2022-07-22,2026-03-29T16:31:35Z
5XufqHphZkJhIkc5wlEST7,Soft Rock Band,Good Morning,2kMzxA8edU05hvMFU493zJ,Soft Rock Band,2024-11-18,2026-03-29T16:15:50Z
6HqdxpWOasNjyjLFVXCB6x,Superbloomer,Arcy Drive,7o1TBmx7Ube5h2Czlam84O,Superbloomer,2023-10-30,2026-03-29T16:09:07Z
46y7Vm8Lk6yxsV0kXh0Zxn,Half-Steering...,Spymob,0dXY6tukxCcKh9iirhLh26,The Neptunes Present... Clones,2003-08-18,2026-03-29T16:01:17Z
6sAqLAzZmD72VWEORosEpG,Butterfly,People I Love,5gsyST1rZJu9HulDyu0seJ,Xo Ghost,2022-03-01,2026-03-29T15:35:32Z
5F4KHwTtgJC9RPAsAC7JDr,Can I Help You?,Amnesty,13clnHtI56jEGjzqeD0Q1o,Free Your Mind,1970-05-28,2026-03-26T18:05:54Z
17v2ohSG0hO8u2AjKaU6MR,Gypsy Woman - Demo Version,Joe Bataan,7ME0heqob2B32S9ofWhOyU,Under The Streetlamps: Anthology 1967-72,2008-06-17,2026-03-26T15:45:52Z
3D7c877toc0Aec6HLAlILK,La Chinita,Manu Chao,6wH6iStAh4KIaWfuhf0NYM,Próxima Estación: Esperanza,2001-06-01,2026-03-26T15:44:28Z
6xNZDWP5Ca0yV9R653WsnT,Song About An Angel - Remastered,Sunny Day Real Estate,2lZkXWxkZsZzBocxMjN1or,Diary (Remastered and Expanded Edition),1994-05-10,2026-03-24T23:49:56Z
5yxGWqng8g9qNe1MAsLjuc,Sweet Red Wine,Jack Davies,41CCcG04zR4wxWbmYyxa34,A Gust Of Wind Knocks Off My Hat,2025-10-30,2026-03-23T13:10:29Z
5AfGaAtyV3y4MX6rjuCqNg,Friend To Friend In Endtime,Lungfish,2aeccL0hsJAfsP56dRdrBI,Talking Songs for Walking / Necklace of Heads,1992-07-01,2026-03-22T18:05:58Z
